"carat","cut","color","depth","price","x","y","z"
0.23,"Ideal","E",61.5,326,3.95,3.98,2.43
0.21,"Premium","E",59.8,326,3.89,3.84,2.31
0.23,"Good","E",56.9,327,4.05,4.07,2.31
0.29,"Premium","I",62.4,334,4.2,4.23,2.63
0.31,"Good","J",63.3,335,4.34,4.35,2.75
0.24,"Very Good","J",62.8,336,3.94,3.96,2.48
0.24,"Very Good","I",62.3,336,3.95,3.98,2.47
0.26,"Very Good","H",61.9,337,4.07,4.11,2.53
0.22,"Fair","E",65.1,337,3.87,3.78,2.49
0.23,"Very Good","H",59.4,338,4,4.05,2.39
0.3,"Good","J",64,339,4.25,4.28,2.73
0.23,"Ideal","J",62.8,340,3.93,3.9,2.46
0.22,"Premium","F",60.4,342,3.88,3.84,2.33
0.31,"Ideal","J",62.2,344,4.35,4.37,2.71
0.2,"Premium","E",60.2,345,3.79,3.75,2.27
0.32,"Premium","E",60.9,345,4.38,4.42,2.68
0.3,"Ideal","I",62,348,4.31,4.34,2.68
0.3,"Good","J",63.4,351,4.23,4.29,2.7
0.3,"Good","J",63.8,351,4.23,4.26,2.71
0.3,"Very Good","J",62.7,351,4.21,4.27,2.66
0.3,"Good","I",63.3,351,4.26,4.3,2.71
0.23,"Very Good","E",63.8,352,3.85,3.92,2.48
0.23,"Very Good","H",61,353,3.94,3.96,2.41
0.31,"Very Good","J",59.4,353,4.39,4.43,2.62
0.31,"Very Good","J",58.1,353,4.44,4.47,2.59
0.23,"Very Good","G",60.4,354,3.97,4.01,2.41
0.24,"Premium","I",62.5,355,3.97,3.94,2.47
0.3,"Very Good","J",62.2,357,4.28,4.3,2.67
0.23,"Very Good","D",60.5,357,3.96,3.97,2.4
0.23,"Very Good","F",60.9,357,3.96,3.99,2.42
0.23,"Very Good","F",60,402,4,4.03,2.41
0.23,"Very Good","F",59.8,402,4.04,4.06,2.42
0.23,"Very Good","E",60.7,402,3.97,4.01,2.42
0.23,"Very Good","E",59.5,402,4.01,4.06,2.4
0.23,"Very Good","D",61.9,402,3.92,3.96,2.44
0.23,"Good","F",58.2,402,4.06,4.08,2.37
0.23,"Good","E",64.1,402,3.83,3.85,2.46
0.31,"Good","H",64,402,4.29,4.31,2.75
