carat,cut,color,depth,price,x,y,z
3.5,Ideal,H,62.8,12587,9.65,9.59,6.03
3.22,Ideal,I,62.6,12545,9.49,9.42,5.92
3.01,Ideal,J,61.7,16037,9.25,9.2,5.69
3.01,Ideal,J,65.4,16538,8.99,8.93,5.86
2.75,Ideal,D,60.9,13156,9.04,8.98,5.49
2.72,Ideal,H,59.6,11594,9.17,9.13,5.45
2.72,Ideal,J,62.1,17801,8.97,8.93,5.56
2.64,Ideal,H,62.3,17407,8.88,8.83,5.52
2.63,Ideal,J,62.1,16914,8.83,8.88,5.5
2.61,Ideal,I,62.1,18756,8.85,8.73,5.46
2.61,Ideal,J,64.6,17209,8.61,8.57,5.55
2.6,Ideal,J,62.5,18369,8.81,8.76,5.49
2.59,Ideal,J,61.7,16465,8.83,8.77,5.43
2.56,Ideal,J,61.4,17753,8.73,8.76,5.37
2.54,Ideal,I,61.4,12687,8.83,8.78,5.41
2.54,Ideal,G,62.5,14421,8.75,8.69,5.45
2.54,Ideal,G,62.7,17339,8.75,8.67,5.46
2.53,Ideal,J,61.5,15993,8.78,8.74,5.39
2.53,Ideal,I,62.4,16709,8.68,8.59,5.39
2.52,Ideal,I,61.5,17231,8.76,8.69,5.37
2.51,Ideal,I,58.4,18037,8.87,8.79,5.15
2.51,Ideal,H,62.0,17162,8.72,8.67,5.39
2.51,Ideal,H,62.9,15324,8.65,8.61,5.43
2.5,Ideal,J,63.8,15246,8.56,8.5,5.45
2.5,Ideal,J,64.0,14502,8.56,8.48,5.46
2.5,Ideal,I,61.9,16955,8.7,8.68,5.38
2.5,Ideal,J,60.7,15990,8.8,8.66,5.3
2.49,Ideal,J,63.8,16915,8.56,8.49,5.45
2.48,Ideal,I,62.3,12883,8.64,8.58,5.36
2.47,Ideal,J,62.1,15430,8.64,8.57,5.34
2.46,Ideal,J,62.3,16466,8.66,8.57,5.37
2.46,Ideal,G,63.0,15745,8.6,8.52,5.44
2.45,Ideal,F,62.0,16589,8.67,8.64,5.36
2.45,Ideal,J,60.4,18113,8.72,8.81,5.3
2.43,Ideal,I,62.3,17856,8.54,8.61,5.34
2.42,Ideal,H,62.3,16826,8.62,8.55,5.35
2.41,Ideal,I,62.5,16987,8.57,8.51,5.34
2.4,Ideal,J,60.6,16274,8.62,8.76,5.26
2.4,Ideal,H,62.0,18374,8.57,8.6,5.32
2.4,Ideal,J,62.0,12468,8.53,8.47,5.27
2.4,Ideal,H,62.0,18541,8.6,8.57,5.32
2.4,Ideal,J,62.7,16687,8.6,8.5,5.36
2.4,Ideal,I,63.8,17039,8.41,8.37,5.35
2.4,Ideal,I,62.8,11988,8.52,8.49,5.34
2.39,Ideal,J,62.1,17365,8.53,8.57,5.31
2.39,Ideal,I,62.2,17955,8.58,8.56,5.33
2.37,Ideal,J,62.2,16789,8.58,8.52,5.32
2.37,Ideal,H,62.1,16937,8.52,8.54,5.3
2.37,Ideal,J,62.2,16059,8.52,8.58,5.32
2.37,Ideal,J,61.9,18508,8.53,8.56,5.29
2.36,Ideal,I,60.8,11238,8.68,8.57,5.24
2.36,Ideal,I,62.8,16707,8.47,8.5,5.33
2.36,Ideal,J,60.1,17534,8.64,8.69,5.21
2.36,Ideal,H,61.8,14146,8.57,8.53,5.28
2.36,Ideal,H,62.2,17569,8.51,8.56,5.3
2.36,Ideal,J,61.6,17829,8.6,8.55,5.28
2.34,Ideal,H,62.4,11221,8.51,8.44,5.29
2.33,Ideal,I,62.4,15073,8.52,8.47,5.31
2.33,Ideal,I,62.0,17504,8.52,8.45,5.26
2.32,Ideal,H,62.6,18080,8.46,8.52,5.32
2.32,Ideal,J,62.5,17891,8.44,8.47,5.28
2.32,Ideal,I,62.0,17516,8.45,8.49,5.25
2.32,Ideal,G,61.0,18532,8.5,8.54,5.2
2.32,Ideal,I,62.0,17676,8.49,8.45,5.25
2.3,Ideal,H,62.6,18108,8.42,8.46,5.28
2.3,Ideal,I,62.2,17193,8.43,8.39,5.23
2.3,Ideal,I,61.8,16181,8.45,8.48,5.23
2.3,Ideal,J,62.3,12316,8.41,8.34,5.22
2.3,Ideal,G,61.4,14744,8.51,8.48,5.22
2.3,Ideal,J,62.4,16062,8.44,8.49,5.28
2.3,Ideal,I,62.6,18190,8.45,8.4,5.27
2.3,Ideal,I,61.8,16329,8.48,8.45,5.23
2.3,Ideal,H,61.6,18304,8.48,8.52,5.24
2.3,Ideal,G,61.6,15433,8.47,8.41,5.2
2.3,Ideal,H,62.6,14215,8.4,8.35,5.25
2.29,Ideal,J,62.8,14500,8.36,8.39,5.25
2.29,Ideal,J,61.8,13726,8.4,8.5,5.23
2.29,Ideal,J,62.3,13200,8.39,8.43,5.24
2.28,Ideal,J,62.7,16450,8.43,8.36,5.26
2.28,Ideal,J,61.6,12755,8.5,8.43,5.21
2.28,Ideal,J,62.6,16592,8.37,8.41,5.25
2.28,Ideal,G,61.6,13907,8.44,8.37,5.18
2.28,Ideal,E,62.0,16969,8.49,8.45,5.25
2.28,Ideal,I,62.9,16187,8.41,8.34,5.27
2.27,Ideal,I,63.0,15710,8.36,8.39,5.28
2.27,Ideal,G,61.1,18343,8.46,8.42,5.16
2.27,Ideal,I,60.5,12939,8.63,8.53,5.19
2.26,Ideal,G,61.9,12831,8.44,8.36,5.2
2.26,Ideal,I,62.4,16904,8.43,8.37,5.24
2.26,Ideal,H,62.2,17312,8.38,8.35,5.2
2.26,Ideal,I,61.5,15606,8.36,8.44,5.17
2.26,Ideal,J,61.1,17010,8.44,8.47,5.17
2.25,Ideal,H,62.4,14348,8.4,8.37,5.23
2.25,Ideal,E,61.4,9072,8.52,8.46,5.21
2.25,Ideal,I,60.5,16575,8.49,8.54,5.15
2.25,Ideal,I,62.4,17143,8.39,8.32,5.21
2.25,Ideal,I,60.7,11104,8.54,8.5,5.17
2.24,Ideal,I,60.5,18299,8.45,8.5,5.13
2.24,Ideal,I,61.7,16709,8.43,8.37,5.18
2.24,Ideal,J,61.8,15316,8.41,8.36,5.18
2.24,Ideal,H,61.4,16300,8.38,8.43,5.16
2.24,Ideal,F,60.3,17989,8.47,8.5,5.12
2.24,Ideal,I,62.1,15852,8.31,8.4,5.19
2.24,Ideal,I,62.1,15730,8.38,8.41,5.21
2.22,Ideal,G,62.6,14637,8.35,8.29,5.21
2.22,Ideal,I,61.3,18363,8.36,8.45,5.15
2.22,Ideal,I,61.3,18531,8.45,8.36,5.15
2.22,Ideal,J,61.8,16689,8.34,8.37,5.16
2.22,Ideal,G,60.9,15584,8.47,8.42,5.14
2.22,Ideal,J,62.8,13703,8.33,8.29,5.22
2.22,Ideal,G,62.5,17123,8.28,8.35,5.2
2.22,Ideal,I,62.7,14416,8.31,8.23,5.19
2.21,Ideal,D,62.0,16558,8.36,8.31,5.18
2.21,Ideal,I,61.6,18062,8.38,8.43,5.18
2.21,Ideal,H,61.9,13615,8.4,8.36,5.19
2.21,Ideal,G,61.9,18276,8.4,8.36,5.19
2.21,Ideal,G,60.2,18128,8.38,8.47,5.07
2.21,Ideal,G,60.1,15948,8.47,8.53,5.11
2.2,Ideal,G,59.9,14691,8.54,8.49,5.1
2.2,Ideal,H,62.6,14408,8.34,8.31,5.21
2.2,Ideal,J,61.5,14593,8.41,8.37,5.16
2.2,Ideal,I,61.7,17895,8.37,8.41,5.18
2.2,Ideal,I,62.2,14277,8.34,8.29,5.18
2.2,Ideal,J,61.6,15384,8.34,8.39,5.15
2.2,Ideal,G,62.0,18168,8.31,8.27,5.14
2.2,Ideal,I,61.4,15092,8.41,8.37,5.15
2.2,Ideal,H,60.0,16530,8.47,8.5,5.09
2.2,Ideal,I,61.7,18059,8.41,8.37,5.18
2.2,Ideal,H,61.7,17460,8.41,8.38,5.18
2.2,Ideal,I,62.2,13512,8.33,8.29,5.17
2.19,Ideal,I,62.4,16147,8.26,8.3,5.17
2.19,Ideal,H,62.0,17433,8.36,8.48,5.22
2.19,Ideal,I,61.5,15509,8.31,8.44,5.15
2.19,Ideal,D,61.8,18693,8.23,8.49,5.17
2.19,Ideal,I,62.5,15254,8.31,8.24,5.18
2.19,Ideal,H,60.6,18475,8.39,8.35,5.07
2.18,Ideal,I,61.4,14870,8.37,8.31,5.12
2.18,Ideal,I,62.5,15850,8.34,8.31,5.2
2.18,Ideal,I,62.5,15706,8.31,8.34,5.2
2.18,Ideal,F,62.6,14277,8.27,8.22,5.16
